"data","acompanhamento","prato_principal","guarnicao","sobremesa","sem_atendimento","quantidade_almoco","quantidade_jantar"
"2024-11-14","45,46","145,58","","67,56",0,1799,454
"2024-11-19","45,46","100,101","104","67,147",0,1408,383
"2024-11-21","45,46","142,135","83","67,147",0,2000,639
"2024-11-22","45,46","133,103","85","64,56",0,1471,364
"2024-11-25","45,46","47,48","143","59,147",0,2492,927
"2024-11-26","45,46","100,101","","71,56",0,2375,789
"2024-11-27","45,46","130,48","128","79,147",0,2015,592
"2024-11-28","45,46","90,91","","92,56",0,2795,1090
"2024-11-29","45,46","140,78","","79,56",0,1241,318
"2024-12-02","45,46","142,96","","92,56",0,1827,498
"2024-12-03","45,46","145,138","","59,147",0,1888,541
"2024-12-04","45,46","134,101","141","59,56",0,2413,775
"2024-12-05","45,46","137,135","83","55,147",0,2139,566
"2024-12-06","45,46","137,136","88","55,56",0,1421,321
"2024-12-09","45,46","132,53","54","55,56",0,2053,673
"2024-12-11","45,46","130,101","88","59,60",0,1830,552
"2024-12-12","45,46","94,95","","55,56",0,1885,534
"2024-12-13","45,46","140,78","","59,56",0,1227,346
"2024-12-16","45,46","130,135","88","79,51",0,1647,433
"2024-12-17","45,46","132,53","54","92,56",0,2048,581
"2025-01-08","45,46","131,66","","55,51",0,885,249
"2025-01-09","45,46","131,66","88","79,51",0,1182,321
"2025-01-10","45,46","133,87","85","79,56",0,707,182
"2025-01-13","45,46","134,119","141","59,51",0,2006,684
"2025-01-14","45,46","137,135","83","55,56",0,1851,632
"2025-01-15","45,46","130,48","97","59,51",0,1691,624
"2025-01-16","45,46","94,95","","79,56",0,1845,626
"2025-01-17","45,46","133,87","85","64,60",0,1133,362
"2025-01-20","45,46","80,53","54","67,51",0,2329,843
"2025-01-21","45,46","100,101","143","59,56",0,2046,625
"2025-01-22","45,46","94,95","","64,51",0,1836,583
"2025-01-23","45,46","137,48","88","79,56",0,1788,395
"2025-01-24","45,46","133,87","85","64,60",0,1335,361
"2025-01-27","45,46","134,73","141","79,51",0,2030,710
"2025-01-28","45,46","137,48","","92,56",0,1897,605
"2025-01-29","45,46","94,95","","59,51",0,1678,547
"2025-01-30","45,46","142,119","83","67,56",0,1913,538
"2025-01-31","45,46","133,87","85","79,60",0,1161,294
"2025-02-03","45,46","134,73","141","67,51",0,1948,573
"2025-02-04","45,46","137,48","83","67,56",0,1801,515
"2025-02-05","45,46","133,87","85","55,51",0,1244,447
"2025-02-06","45,46","153,58","","64,56",0,2130,680
"2025-02-07","45,46","131,66","","79,51",0,1261,323
"2025-02-10","45,46","142,119","88","71,51",0,1870,543
"2025-02-11","45,46","80,53","54","55,56",0,2602,926
"2025-02-12","45,46","90,91","","92,51",0,2558,1060
